Cluster_ID,Nome_Sugerido,Top_Authors,Key_Keywords,Trend_Status,N_Keywords,N_Contributing_Authors
0,ACADEMIC ENTREPRENEURSHIP,"WRIGHT, M (100); RASMUSSEN, E (91); CUNNINGHAM, JA (84); GUERRERO, M (81); VISMARA, S (73); FINI, R (73); MEOLI, M (69); HAYTER, CS (56); URBANO, D (49); GRIMALDI, R (48)",ACADEMIC ENTREPRENEURSHIP; PERFORMANCE; ENTREPRENEURSHIP; KNOWLEDGE; TECHNOLOGY TRANSFER,Growing,28,2811
1,INNOVATION,"GUERRERO, M (70); FERREIRA, JJ (39); SECUNDO, G (38); URBANO, D (34); ETZKOWITZ, H (29); PUGH, R (24); DE MORAES, GHSM (23); MENTER, M (23); RIPPA, P (23); CUNNINGHAM, JA (22)",INNOVATION; ENTREPRENEURIAL UNIVERSITY; IMPACT; EDUCATION; ENTREPRENEURIAL UNIVERSITIES,Growing,20,2016
2,DETERMINANTS,"GUERRERO, M (4); RIVIEZZO, A (2); SANTOS, SC (2); LIÑÁN, F (2); NAPOLITANO, MR (2); FUSCO, F (2); HEATON, S (2); URBANO, D (2); RONCANCIO-MARIN, JJ (2); DENTCHEV, NA (2)",DETERMINANTS; ENTREPRENEURIAL ORIENTATION,Growing,2,29
