LDA_Topic,Total_Docs,Digital_Docs,Digital_Percentage,Concentration
5,272,130,47.8,HIGH
3,91,42,46.2,HIGH
0,868,389,44.8,HIGH
2,7,2,28.6,HIGH
1,0,0,0.0,LOW
4,0,0,0.0,LOW
6,0,0,0.0,LOW
7,0,0,0.0,LOW
8,0,0,0.0,LOW
9,0,0,0.0,LOW
