Network,Nodes,Edges,Density,Diameter,Avg_Clustering,Modularity,Giant_Component_%,Avg_Degree
Keywords_Cooccurrence,50,1032,0.8424,2,0.0444,0.0408,100.0,41.28
Bibliographic_Coupling_Raw,511,95107,0.7299,4,0.052,N/A,98.6,372.24
Bibliographic_Coupling_Backbone,372,1093,0.0158,16,0.2438,0.8303,100.0,5.88
