LDA_Topic,Total_Docs,Digital_Docs,Digital_Percentage,Concentration
0,3,2,66.7,HIGH
3,29,13,44.8,HIGH
1,2598,1070,41.2,HIGH
4,108,42,38.9,HIGH
2,1,0,0.0,LOW
